REGION,YEAR,WEEK,% WEIGHTED ILI
Region 2,2000,18,0.482175
Region 3,2000,18,2.30481
Region 4,2000,18,0.701991
Region 5,2000,18,0.250336
Region 6,2000,18,0.244806
Region 7,2000,18,0.680936
Region 8,2000,18,0
Region 9,2000,18,0.09069
Region 10,2000,18,0
National,2000,18,0.547247
Region 1,2000,19,0.0854574
Region 2,2000,19,0.910596
Region 3,2000,19,1.53104
Region 4,2000,19,0.34515
Region 5,2000,19,0.252558
Region 6,2000,19,0.24997
Region 7,2000,19,0.842976
Region 8,2000,19,0.0818814
Region 9,2000,19,0.265234
Region 10,2000,19,0.231481
National,2000,19,0.476417
Region 1,2000,20,0.0534167
Region 2,2000,20,0
Region 3,2000,20,1.12846
Region 4,2000,20,0.393233
Region 5,2000,20,0.214664
Region 6,2000,20,0.265205
Region 7,2000,20,0.716501
Region 8,2000,20,0
Region 9,2000,20,0.946002
Region 10,2000,20,0
National,2000,20,0.445917
Region 1,2000,21,0
Region 2,2000,21,0
Region 3,2000,21,0
Region 4,2000,21,0
Region 5,2000,21,0
Region 6,2000,21,0
Region 7,2000,21,0
Region 8,2000,21,0
Region 9,2000,21,0
Region 10,2000,21,0
National,2000,21,0
Region 1,2000,22,0
Region 2,2000,22,0
Region 3,2000,22,0
Region 4,2000,22,0
Region 5,2000,22,0
Region 6,2000,22,0
Region 7,2000,22,0
Region 8,2000,22,0
Region 9,2000,22,0
Region 10,2000,22,0
National,2000,22,0
Region 1,2000,23,0
Region 2,2000,23,0
Region 3,2000,23,0
Region 4,2000,23,0
Region 5,2000,23,0
Region 6,2000,23,0
Region 7,2000,23,0
Region 8,2000,23,0
Region 9,2000,23,0
Region 10,2000,23,0
National,2000,23,0
Region 1,2000,24,0
Region 2,2000,24,0
Region 3,2000,24,0
Region 4,2000,24,0
Region 5,2000,24,0
Region 6,2000,24,0
Region 7,2000,24,0
Region 8,2000,24,0
Region 9,2000,24,0
Region 10,2000,24,0
National,2000,24,0
Region 1,2000,25,0
Region 2,2000,25,0
Region 3,2000,25,0
Region 4,2000,25,0
Region 5,2000,25,0
Region 6,2000,25,0
Region 7,2000,25,0
Region 8,2000,25,0
Region 9,2000,25,0
Region 10,2000,25,0
National,2000,25,0
Region 1,2000,26,0
Region 2,2000,26,0
Region 3,2000,26,0
Region 4,2000,26,0
Region 5,2000,26,0
Region 6,2000,26,0
Region 7,2000,26,0
Region 8,2000,26,0
Region 9,2000,26,0
Region 10,2000,26,0
National,2000,26,0
Region 1,2000,27,0
Region 2,2000,27,0
Region 3,2000,27,0
Region 4,2000,27,0
Region 5,2000,27,0
Region 6,2000,27,0
Region 7,2000,27,0
Region 8,2000,27,0
Region 9,2000,27,0
Region 10,2000,27,0
National,2000,27,0
Region 1,2000,28,0
Region 2,2000,28,0
Region 3,2000,28,0
Region 4,2000,28,0
Region 5,2000,28,0
Region 6,2000,28,0
Region 7,2000,28,0
Region 8,2000,28,0
Region 9,2000,28,0
Region 10,2000,28,0
National,2000,28,0
Region 1,2000,29,0
Region 2,2000,29,0
Region 3,2000,29,0
Region 4,2000,29,0
Region 5,2000,29,0
Region 6,2000,29,0
Region 7,2000,29,0
Region 8,2000,29,0
Region 9,2000,29,0
Region 10,2000,29,0
National,2000,29,0
Region 1,2000,30,0
Region 2,2000,30,0
Region 3,2000,30,0
Region 4,2000,30,0
Region 5,2000,30,0
Region 6,2000,30,0
Region 7,2000,30,0
Region 8,2000,30,0
Region 9,2000,30,0
Region 10,2000,30,0
National,2000,30,0
Region 1,2000,31,0
Region 2,2000,31,0
Region 3,2000,31,0
Region 4,2000,31,0
Region 5,2000,31,0
Region 6,2000,31,0
Region 7,2000,31,0
Region 8,2000,31,0
Region 9,2000,31,0
Region 10,2000,31,0
National,2000,31,0
Region 1,2000,32,0
Region 2,2000,32,0
Region 3,2000,32,0
Region 4,2000,32,0
Region 5,2000,32,0
Region 6,2000,32,0
Region 7,2000,32,0
Region 8,2000,32,0
Region 9,2000,32,0
Region 10,2000,32,0
National,2000,32,0
Region 1,2000,33,0
Region 2,2000,33,0
Region 3,2000,33,0
Region 4,2000,33,0
Region 5,2000,33,0
Region 6,2000,33,0
Region 7,2000,33,0
Region 8,2000,33,0
Region 9,2000,33,0
Region 10,2000,33,0
National,2000,33,0
Region 1,2000,34,0
Region 2,2000,34,0
Region 3,2000,34,0
Region 4,2000,34,0
Region 5,2000,34,0
Region 6,2000,34,0
Region 7,2000,34,0
Region 8,2000,34,0
Region 9,2000,34,0
Region 10,2000,34,0
National,2000,34,0
Region 1,2000,35,0
Region 2,2000,35,0
Region 3,2000,35,0
Region 4,2000,35,0
Region 5,2000,35,0
Region 6,2000,35,0
Region 7,2000,35,0
Region 8,2000,35,0
Region 9,2000,35,0
Region 10,2000,35,0
National,2000,35,0
Region 1,2000,36,0
Region 2,2000,36,0
Region 3,2000,36,0
Region 4,2000,36,0
Region 5,2000,36,0
Region 6,2000,36,0
Region 7,2000,36,0
Region 8,2000,36,0
Region 9,2000,36,0
Region 10,2000,36,0
National,2000,36,0
Region 1,2000,37,0
Region 2,2000,37,0
Region 3,2000,37,0
Region 4,2000,37,0
Region 5,2000,37,0
Region 6,2000,37,0
Region 7,2000,37,0
Region 8,2000,37,0
Region 9,2000,37,0
Region 10,2000,37,0
National,2000,37,0
Region 1,2000,38,0
Region 2,2000,38,0
Region 3,2000,38,0
Region 4,2000,38,0
Region 5,2000,38,0
Region 6,2000,38,0
Region 7,2000,38,0
Region 8,2000,38,0
Region 9,2000,38,0
Region 10,2000,38,0
National,2000,38,0
Region 1,2000,39,0
Region 2,2000,39,0
Region 3,2000,39,0
Region 4,2000,39,0
Region 5,2000,39,0
Region 6,2000,39,0
Region 7,2000,39,0
Region 8,2000,39,0
Region 9,2000,39,0
Region 10,2000,39,0
National,2000,39,0
Region 1,2000,40,0.491572
Region 2,2000,40,2.71967
Region 3,2000,40,0.411277
Region 4,2000,40,0.887158
Region 5,2000,40,0.723263
Region 6,2000,40,1.13476
Region 7,2000,40,1.63248
Region 8,2000,40,0.055756
Region 9,2000,40,1.33872
Region 10,2000,40,0.404626
National,2000,40,1.04113
Region 1,2000,41,0.513837
Region 2,2000,41,2.35849
Region 3,2000,41,0.928161
Region 4,2000,41,0.760447
Region 5,2000,41,0.702311
Region 6,2000,41,0.197233
Region 7,2000,41,1.7149
Region 8,2000,41,0.36209
Region 9,2000,41,2.98198
Region 10,2000,41,2.74609
National,2000,41,1.2871
Region 1,2000,42,0.455781
Region 2,2000,42,3.15315
Region 3,2000,42,1.60291
Region 4,2000,42,1.12655
Region 5,2000,42,0.810252
Region 6,2000,42,0.899431
Region 7,2000,42,1.13902
Region 8,2000,42,0.436769
Region 9,2000,42,1.76319
Region 10,2000,42,1.50714
National,2000,42,1.28299
Region 1,2000,43,0.334783
Region 2,2000,43,3.18258
Region 3,2000,43,2.172
Region 4,2000,43,1.25703
Region 5,2000,43,0.69439
Region 6,2000,43,0.688789
Region 7,2000,43,1.42194
Region 8,2000,43,0.314794
Region 9,2000,43,1.23496
Region 10,2000,43,4.27338
National,2000,43,1.34081
Region 1,2000,44,0.367544
Region 2,2000,44,1.39738
Region 3,2000,44,1.5331
Region 4,2000,44,1.1201
Region 5,2000,44,0.705834
Region 6,2000,44,0.465766
Region 7,2000,44,0.605629
Region 8,2000,44,0.420191
Region 9,2000,44,1.60785
Region 10,2000,44,3.04392
National,2000,44,1.0555
Region 1,2000,45,0.558944
Region 2,2000,45,1.61061
Region 3,2000,45,1.29725
Region 4,2000,45,1.36644
Region 5,2000,45,0.833756
Region 6,2000,45,0.957323
Region 7,2000,45,1.37846
Region 8,2000,45,0.553201
Region 9,2000,45,1.11687
Region 10,2000,45,2.47539
National,2000,45,1.14136
Region 1,2000,46,0.58688
Region 2,2000,46,1.44711
Region 3,2000,46,1.91616
Region 4,2000,46,1.6651
Region 5,2000,46,0.71501
Region 6,2000,46,1.38123
Region 7,2000,46,1.42524
Region 8,2000,46,0.818343
Region 9,2000,46,2.15375
Region 10,2000,46,1.94189
National,2000,46,1.44111
Region 1,2000,47,0.779003
Region 2,2000,47,2.17634
Region 3,2000,47,6.17483
Region 4,2000,47,2.15025
Region 5,2000,47,0.851478
Region 6,2000,47,1.00937
Region 7,2000,47,2.10321
Region 8,2000,47,1.06073
Region 9,2000,47,1.91998
Region 10,2000,47,1.7912
National,2000,47,1.95735
Region 1,2000,48,0.73446
Region 2,2000,48,1.79961
Region 3,2000,48,1.80312
Region 4,2000,48,1.60852
Region 5,2000,48,0.851455
Region 6,2000,48,1.33744
Region 7,2000,48,0.748801
Region 8,2000,48,0.917926
Region 9,2000,48,2.85756
Region 10,2000,48,3.32965
National,2000,48,1.61928
Region 1,2000,49,1.7081
Region 2,2000,49,2.34939
Region 3,2000,49,2.58903
Region 4,2000,49,1.46726
Region 5,2000,49,0.861037
Region 6,2000,49,1.97902
Region 7,2000,49,1.42965
Region 8,2000,49,0.922569
Region 9,2000,49,2.80011
Region 10,2000,49,1.74764
National,2000,49,1.7844
Region 1,2000,50,0.847539
Region 2,2000,50,1.58033
Region 3,2000,50,1.97016
Region 4,2000,50,1.94938
Region 5,2000,50,1.11598
Region 6,2000,50,3.79495
Region 7,2000,50,1.78855
Region 8,2000,50,0.937087
Region 9,2000,50,4.60006
Region 10,2000,50,3.56193
National,2000,50,2.34423
Region 1,2000,51,0.838599
Region 2,2000,51,0.967209
Region 3,2000,51,2.69523
Region 4,2000,51,2.24642
Region 5,2000,51,1.27204
Region 6,2000,51,4.94209
Region 7,2000,51,1.28387
Region 8,2000,51,1.65105
Region 9,2000,51,5.29511
Region 10,2000,51,4.07302
National,2000,51,2.69528
Region 1,2000,52,2.66067
Region 2,2000,52,1.79574
Region 3,2000,52,4.28415
Region 4,2000,52,2.5332
Region 5,2000,52,1.7833
Region 6,2000,52,8.25864
Region 7,2000,52,2.09199
Region 8,2000,52,2.5365
Region 9,2000,52,6.50903
Region 10,2000,52,5.62125
National,2000,52,3.8618
Region 1,2001,1,3.0838
Region 2,2001,1,2.18405
Region 3,2001,1,2.91341
Region 4,2001,1,2.53018
Region 5,2001,1,1.665
Region 6,2001,1,7.70607
Region 7,2001,1,1.41867
Region 8,2001,1,2.398
Region 9,2001,1,5.17391
Region 10,2001,1,6.22052
National,2001,1,3.505
Region 1,2001,2,2.44784
Region 2,2001,2,1.71468
Region 3,2001,2,2.84719
Region 4,2001,2,2.54171
Region 5,2001,2,1.89456
Region 6,2001,2,8.00807
Region 7,2001,2,2.3917
Region 8,2001,2,2.61018
Region 9,2001,2,4.863
Region 10,2001,2,5.33
National,2001,2,3.43804
Region 1,2001,3,3.0082
Region 2,2001,3,3.09373
Region 3,2001,3,4.04856
Region 4,2001,3,3.34082
Region 5,2001,3,2.36097
Region 6,2001,3,8.25342
Region 7,2001,3,3.72301
Region 8,2001,3,3.34326
Region 9,2001,3,6.54242
Region 10,2001,3,6.73698
National,2001,3,4.3928
Region 1,2001,4,3.66662
Region 2,2001,4,3.49676
Region 3,2001,4,4.29008
Region 4,2001,4,4.08727
Region 5,2001,4,3.01983
Region 6,2001,4,6.06804
Region 7,2001,4,3.95197
Region 8,2001,4,3.57654
Region 9,2001,4,4.45718
Region 10,2001,4,7.0501
National,2001,4,4.21339
Region 1,2001,5,4.72841
Region 2,2001,5,4.1771
Region 3,2001,5,6.01118
Region 4,2001,5,3.92495
Region 5,2001,5,3.36093
Region 6,2001,5,4.489
Region 7,2001,5,3.56571
Region 8,2001,5,3.48755
Region 9,2001,5,5.19627
Region 10,2001,5,4.72898
National,2001,5,4.35364
Region 1,2001,6,3.56103
Region 2,2001,6,2.93806
Region 3,2001,6,5.16815
Region 4,2001,6,3.73746
Region 5,2001,6,2.87964
Region 6,2001,6,2.51708
Region 7,2001,6,3.06988
Region 8,2001,6,2.63203
Region 9,2001,6,5.10996
Region 10,2001,6,4.96111
National,2001,6,3.69969
Region 1,2001,7,2.77012
Region 2,2001,7,2.0558
Region 3,2001,7,4.76964
Region 4,2001,7,2.64377
Region 5,2001,7,2.27064
Region 6,2001,7,1.9762
Region 7,2001,7,1.97718
Region 8,2001,7,2.25164
Region 9,2001,7,3.70606
Region 10,2001,7,4.02815
National,2001,7,2.81921
Region 1,2001,8,2.19192
Region 2,2001,8,3.02509
Region 3,2001,8,4.58803
Region 4,2001,8,2.18268
Region 5,2001,8,2.1024
Region 6,2001,8,1.06385
Region 7,2001,8,2.1485
Region 8,2001,8,1.83486
Region 9,2001,8,3.24319
Region 10,2001,8,3.17204
National,2001,8,2.55294
Region 1,2001,9,1.44457
Region 2,2001,9,0.927075
Region 3,2001,9,2.43148
Region 4,2001,9,1.53177
Region 5,2001,9,1.84593
Region 6,2001,9,1.21116
Region 7,2001,9,1.63535
Region 8,2001,9,2.22036
Region 9,2001,9,3.04966
Region 10,2001,9,3.71374
National,2001,9,1.90167
Region 1,2001,10,1.20585
Region 2,2001,10,1.00175
Region 3,2001,10,2.46173
Region 4,2001,10,1.82131
Region 5,2001,10,1.50662
Region 6,2001,10,0.535722
Region 7,2001,10,1.47005
Region 8,2001,10,1.18333
Region 9,2001,10,2.25965
Region 10,2001,10,4.58057
National,2001,10,1.68033
Region 1,2001,11,0.644406
Region 2,2001,11,0.69924
Region 3,2001,11,1.99097
Region 4,2001,11,1.9513
Region 5,2001,11,1.01767
Region 6,2001,11,0.334874
Region 7,2001,11,0.855566
Region 8,2001,11,2.04894
Region 9,2001,11,3.16455
Region 10,2001,11,4.67213
National,2001,11,1.6254
Region 1,2001,12,0.958727
Region 2,2001,12,0.66216
Region 3,2001,12,1.8158
Region 4,2001,12,2.55073
Region 5,2001,12,0.901337
Region 6,2001,12,0.140526
Region 7,2001,12,0.994786
Region 8,2001,12,0.60082
Region 9,2001,12,2.22158
Region 10,2001,12,2.51446
National,2001,12,1.45957
Region 1,2001,13,0.729239
Region 2,2001,13,0.586826
Region 3,2001,13,2.15263
Region 4,2001,13,2.39018
Region 5,2001,13,0.652711
Region 6,2001,13,0.324846
Region 7,2001,13,0.8983
Region 8,2001,13,0.289248
Region 9,2001,13,1.89668
Region 10,2001,13,1.47808
National,2001,13,1.32376
Region 1,2001,14,0.659387
Region 2,2001,14,0.459263
Region 3,2001,14,1.60017
Region 4,2001,14,0.633757
Region 5,2001,14,0.660277
Region 6,2001,14,0.420275
Region 7,2001,14,0.96996
Region 8,2001,14,0.397519
Region 9,2001,14,1.53509
Region 10,2001,14,2.88208
National,2001,14,0.920073
Region 1,2001,15,0.840202
Region 2,2001,15,0.33765
Region 3,2001,15,1.44188
Region 4,2001,15,0.560973
Region 5,2001,15,0.41806
Region 6,2001,15,0.464288
Region 7,2001,15,0.697677
Region 8,2001,15,0.211251
Region 9,2001,15,1.47148
Region 10,2001,15,1.65938
National,2001,15,0.779257
Region 1,2001,16,0.828789
Region 2,2001,16,0.467838
Region 3,2001,16,1.50082
Region 4,2001,16,0.500787
Region 5,2001,16,0.462566
Region 6,2001,16,0.737389
Region 7,2001,16,0.601854
Region 8,2001,16,0.368528
Region 9,2001,16,2.38164
Region 10,2001,16,2.33848
National,2001,16,0.991303
Region 1,2001,17,0.288972
Region 2,2001,17,0.522549
Region 3,2001,17,1.37933
Region 4,2001,17,0.462064
Region 5,2001,17,0.223285
Region 6,2001,17,0.335316
Region 7,2001,17,0.834769
Region 8,2001,17,0.19942
Region 9,2001,17,1.76164
Region 10,2001,17,4.37427
National,2001,17,0.82693
Region 1,2001,18,0.635602
Region 2,2001,18,0.355013
Region 3,2001,18,1.37932
Region 4,2001,18,0.407937
Region 5,2001,18,0.230484
Region 6,2001,18,0
Region 7,2001,18,0.742993
Region 8,2001,18,0.311674
Region 9,2001,18,0.80248
Region 10,2001,18,2.86199
National,2001,18,0.588952
Region 1,2001,19,0.429847
Region 2,2001,19,0.640335
Region 3,2001,19,1.38682
Region 4,2001,19,0.506802
Region 5,2001,19,0.181107
Region 6,2001,19,0.384476
Region 7,2001,19,0.668031
Region 8,2001,19,0.194821
Region 9,2001,19,0.540417
Region 10,2001,19,2.97214
National,2001,19,0.605586
Region 1,2001,20,0.632022
Region 2,2001,20,0.560799
Region 3,2001,20,0.931242
Region 4,2001,20,0.476992
Region 5,2001,20,0.12699
Region 6,2001,20,0.489432
Region 7,2001,20,1.05693
Region 8,2001,20,0
Region 9,2001,20,0.588438
Region 10,2001,20,0
National,2001,20,0.49434
Region 1,2001,21,0
Region 2,2001,21,0
Region 3,2001,21,0
Region 4,2001,21,0
Region 5,2001,21,0
Region 6,2001,21,0
Region 7,2001,21,0
Region 8,2001,21,0
Region 9,2001,21,0
Region 10,2001,21,0
National,2001,21,0
Region 1,2001,22,0
Region 2,2001,22,0
Region 3,2001,22,0
Region 4,2001,22,0
Region 5,2001,22,0
Region 6,2001,22,0
Region 7,2001,22,0
Region 8,2001,22,0
Region 9,2001,22,0
Region 10,2001,22,0
National,2001,22,0
Region 1,2001,23,0
Region 2,2001,23,0
Region 3,2001,23,0
Region 4,2001,23,0
Region 5,2001,23,0
Region 6,2001,23,0
Region 7,2001,23,0
Region 8,2001,23,0
Region 9,2001,23,0
Region 10,2001,23,0
National,2001,23,0
Region 1,2001,24,0
Region 2,2001,24,0
Region 3,2001,24,0
Region 4,2001,24,0
Region 5,2001,24,0
Region 6,2001,24,0
Region 7,2001,24,0
Region 8,2001,24,0
Region 9,2001,24,0
Region 10,2001,24,0
National,2001,24,0
Region 1,2001,25,0
Region 2,2001,25,0
Region 3,2001,25,0
Region 4,2001,25,0
Region 5,2001,25,0
Region 6,2001,25,0
Region 7,2001,25,0
Region 8,2001,25,0
Region 9,2001,25,0
Region 10,2001,25,0
National,2001,25,0
Region 1,2001,26,0
Region 2,2001,26,0
Region 3,2001,26,0
Region 4,2001,26,0
Region 5,2001,26,0
Region 6,2001,26,0
Region 7,2001,26,0
Region 8,2001,26,0
Region 9,2001,26,0
Region 10,2001,26,0
National,2001,26,0
Region 1,2001,27,0
Region 2,2001,27,0
Region 3,2001,27,0
Region 4,2001,27,0
Region 5,2001,27,0
Region 6,2001,27,0
Region 7,2001,27,0
Region 8,2001,27,0
Region 9,2001,27,0
Region 10,2001,27,0
National,2001,27,0
Region 1,2001,28,0
Region 2,2001,28,0
Region 3,2001,28,0
Region 4,2001,28,0
Region 5,2001,28,0
Region 6,2001,28,0
Region 7,2001,28,0
Region 8,2001,28,0
Region 9,2001,28,0
Region 10,2001,28,0
National,2001,28,0
Region 1,2001,29,0
Region 2,2001,29,0
Region 3,2001,29,0
Region 4,2001,29,0
Region 5,2001,29,0
Region 6,2001,29,0
Region 7,2001,29,0
Region 8,2001,29,0
Region 9,2001,29,0
Region 10,2001,29,0
National,2001,29,0
Region 1,2001,30,0
Region 2,2001,30,0
Region 3,2001,30,0
Region 4,2001,30,0
Region 5,2001,30,0
Region 6,2001,30,0
Region 7,2001,30,0
Region 8,2001,30,0
Region 9,2001,30,0
Region 10,2001,30,0
National,2001,30,0
Region 1,2001,31,0
Region 2,2001,31,0
Region 3,2001,31,0
Region 4,2001,31,0
Region 5,2001,31,0
Region 6,2001,31,0
Region 7,2001,31,0
Region 8,2001,31,0
Region 9,2001,31,0
Region 10,2001,31,0
National,2001,31,0
Region 1,2001,32,0
Region 2,2001,32,0
Region 3,2001,32,0
Region 4,2001,32,0
Region 5,2001,32,0
Region 6,2001,32,0
Region 7,2001,32,0
Region 8,2001,32,0
Region 9,2001,32,0
Region 10,2001,32,0
National,2001,32,0
Region 1,2001,33,0
Region 2,2001,33,0
Region 3,2001,33,0
Region 4,2001,33,0
Region 5,2001,33,0
Region 6,2001,33,0
Region 7,2001,33,0
Region 8,2001,33,0
Region 9,2001,33,0
Region 10,2001,33,0
National,2001,33,0
Region 1,2001,34,0
Region 2,2001,34,0
Region 3,2001,34,0
Region 4,2001,34,0
Region 5,2001,34,0
Region 6,2001,34,0
Region 7,2001,34,0
Region 8,2001,34,0
Region 9,2001,34,0
Region 10,2001,34,0
National,2001,34,0
Region 1,2001,35,0
Region 2,2001,35,0
Region 3,2001,35,0
Region 4,2001,35,0
Region 5,2001,35,0
Region 6,2001,35,0
Region 7,2001,35,0
Region 8,2001,35,0
Region 9,2001,35,0
Region 10,2001,35,0
National,2001,35,0
Region 1,2001,36,0
Region 2,2001,36,0
Region 3,2001,36,0
Region 4,2001,36,0
Region 5,2001,36,0
Region 6,2001,36,0
Region 7,2001,36,0
Region 8,2001,36,0
Region 9,2001,36,0
Region 10,2001,36,0
National,2001,36,0
Region 1,2001,37,0
Region 2,2001,37,0
Region 3,2001,37,0
Region 4,2001,37,0
Region 5,2001,37,0
Region 6,2001,37,0
Region 7,2001,37,0
Region 8,2001,37,0
Region 9,2001,37,0
Region 10,2001,37,0
National,2001,37,0
Region 1,2001,38,0
Region 2,2001,38,0
Region 3,2001,38,0
Region 4,2001,38,0
Region 5,2001,38,0
Region 6,2001,38,0
Region 7,2001,38,0
Region 8,2001,38,0
Region 9,2001,38,0
Region 10,2001,38,0
National,2001,38,0
Region 1,2001,39,0
Region 2,2001,39,0
Region 3,2001,39,0
Region 4,2001,39,0
Region 5,2001,39,0
Region 6,2001,39,0
Region 7,2001,39,0
Region 8,2001,39,0
Region 9,2001,39,0
Region 10,2001,39,0
National,2001,39,0
Region 1,2001,40,0.488423
Region 2,2001,40,0.744221
Region 3,2001,40,1.62644
Region 4,2001,40,0.646735
Region 5,2001,40,0.932785
Region 6,2001,40,0.756693
Region 7,2001,40,1.55596
Region 8,2001,40,0.2691
Region 9,2001,40,4.24985
Region 10,2001,40,0.651836
National,2001,40,1.41046
Region 1,2001,41,0.579227
Region 2,2001,41,0.941888
Region 3,2001,41,3.21104
Region 4,2001,41,0.824939
Region 5,2001,41,2.05194
Region 6,2001,41,1.70644
Region 7,2001,41,1.24632
Region 8,2001,41,0.564872
Region 9,2001,41,3.14644
Region 10,2001,41,1.07286
National,2001,41,1.77019
Region 1,2001,42,0.757278
Region 2,2001,42,0.910421
Region 3,2001,42,2.67444
Region 4,2001,42,0.801895
Region 5,2001,42,1.15362
Region 6,2001,42,1.67185
Region 7,2001,42,1.26255
Region 8,2001,42,0.6755
Region 9,2001,42,3.57209
Region 10,2001,42,1.03744
National,2001,42,1.61904
